times,arima_forecast_mean,ha_arima_forecast_upper95,ha_arima_forecast_lower95,ha_arima_forecast_upper80,ha_arima_forecast_lower_80,mydata.headache.test_start_index.test_end_index.
2014-08-23 01:26:00-07:00,0,1.918494171,-1.918494171,1.254435912,-1.254435912,0
2014-08-23 01:27:00-07:00,0,1.929488497,-1.929488497,1.261624716,-1.261624716,0
2014-08-23 01:28:00-07:00,0,1.940420531,-1.940420531,1.268772788,-1.268772788,0
2014-08-23 01:29:00-07:00,0,1.951291319,-1.951291319,1.275880815,-1.275880815,0
2014-08-23 01:30:00-07:00,0,1.96210188,-1.96210188,1.28294946,-1.28294946,0
2014-08-23 01:31:00-07:00,0,1.972853204,-1.972853204,1.289979373,-1.289979373,0
2014-08-23 01:32:00-07:00,0,1.983546254,-1.983546254,1.296971182,-1.296971182,0
2014-08-23 01:33:00-07:00,0,1.994181967,-1.994181967,1.303925501,-1.303925501,0
2014-08-23 01:34:00-07:00,0,2.004761256,-2.004761256,1.310842927,-1.310842927,0
2014-08-23 01:35:00-07:00,0,2.015285009,-2.015285009,1.317724039,-1.317724039,0
2014-08-23 01:36:00-07:00,0,2.025754092,-2.025754092,1.324569405,-1.324569405,0
2014-08-23 01:37:00-07:00,0,2.036169349,-2.036169349,1.331379575,-1.331379575,0
2014-08-23 01:38:00-07:00,0,2.046531601,-2.046531601,1.338155088,-1.338155088,0
2014-08-23 01:39:00-07:00,0,2.056841649,-2.056841649,1.344896466,-1.344896466,0
2014-08-23 01:40:00-07:00,0,2.067100275,-2.067100275,1.35160422,-1.35160422,0
2014-08-23 01:41:00-07:00,0,2.077308239,-2.077308239,1.35827885,-1.35827885,0
2014-08-23 01:42:00-07:00,0,2.087466286,-2.087466286,1.36492084,-1.36492084,0
2014-08-23 01:43:00-07:00,0,2.097575141,-2.097575141,1.371530664,-1.371530664,0
2014-08-23 01:44:00-07:00,0,2.107635511,-2.107635511,1.378108787,-1.378108787,0
2014-08-23 01:45:00-07:00,0,2.117648088,-2.117648088,1.384655659,-1.384655659,0
2014-08-23 01:46:00-07:00,0,2.127613546,-2.127613546,1.391171721,-1.391171721,0
2014-08-23 01:47:00-07:00,0,2.137532544,-2.137532544,1.397657406,-1.397657406,0
2014-08-23 01:48:00-07:00,0,2.147405726,-2.147405726,1.404113132,-1.404113132,0
2014-08-23 01:49:00-07:00,0,2.157233721,-2.157233721,1.410539313,-1.410539313,0
2014-08-23 01:50:00-07:00,0,2.167017144,-2.167017144,1.41693635,-1.41693635,0
2014-08-23 01:51:00-07:00,0,2.176756596,-2.176756596,1.423304635,-1.423304635,0
2014-08-23 01:52:00-07:00,0,2.186452665,-2.186452665,1.429644553,-1.429644553,0
2014-08-23 01:53:00-07:00,0,2.196105924,-2.196105924,1.435956481,-1.435956481,0
2014-08-23 01:54:00-07:00,0,2.205716937,-2.205716937,1.442240784,-1.442240784,0
2014-08-23 01:55:00-07:00,0,2.215286253,-2.215286253,1.448497823,-1.448497823,0
2014-08-23 01:56:00-07:00,0,2.22481441,-2.22481441,1.45472795,-1.45472795,0
2014-08-23 01:57:00-07:00,0,2.234301934,-2.234301934,1.460931509,-1.460931509,0
2014-08-23 01:58:00-07:00,0,2.243749342,-2.243749342,1.467108837,-1.467108837,0
2014-08-23 01:59:00-07:00,0,2.253157137,-2.253157137,1.473260264,-1.473260264,0
2014-08-23 02:00:00-07:00,0,2.262525814,-2.262525814,1.479386112,-1.479386112,0
2014-08-23 02:01:00-07:00,0,2.271855857,-2.271855857,1.485486699,-1.485486699,0
2014-08-23 02:02:00-07:00,0,2.28114774,-2.28114774,1.491562335,-1.491562335,0
2014-08-23 02:03:00-07:00,0,2.290401927,-2.290401927,1.497613323,-1.497613323,0
2014-08-23 02:04:00-07:00,0,2.299618873,-2.299618873,1.50363996,-1.50363996,0
2014-08-23 02:05:00-07:00,0,2.308799025,-2.308799025,1.509642539,-1.509642539,0
2014-08-23 02:06:00-07:00,0,2.317942819,-2.317942819,1.515621344,-1.515621344,0
2014-08-23 02:07:00-07:00,0,2.327050685,-2.327050685,1.521576657,-1.521576657,0
2014-08-23 02:08:00-07:00,0,2.336123042,-2.336123042,1.527508753,-1.527508753,0
2014-08-23 02:09:00-07:00,0,2.345160302,-2.345160302,1.533417899,-1.533417899,0
2014-08-23 02:10:00-07:00,0,2.35416287,-2.35416287,1.539304362,-1.539304362,0
2014-08-23 02:11:00-07:00,0,2.363131142,-2.363131142,1.5451684,-1.5451684,0
2014-08-23 02:12:00-07:00,0,2.372065507,-2.372065507,1.551010267,-1.551010267,0
2014-08-23 02:13:00-07:00,0,2.380966347,-2.380966347,1.556830214,-1.556830214,0
2014-08-23 02:14:00-07:00,0,2.389834036,-2.389834036,1.562628484,-1.562628484,0
2014-08-23 02:15:00-07:00,0,2.398668942,-2.398668942,1.568405319,-1.568405319,0
2014-08-23 02:16:00-07:00,0,2.407471427,-2.407471427,1.574160954,-1.574160954,0
2014-08-23 02:17:00-07:00,0,2.416241844,-2.416241844,1.579895621,-1.579895621,0
2014-08-23 02:18:00-07:00,0,2.424980541,-2.424980541,1.585609548,-1.585609548,0
2014-08-23 02:19:00-07:00,0,2.43368786,-2.43368786,1.591302958,-1.591302958,0
2014-08-23 02:20:00-07:00,0,2.442364136,-2.442364136,1.596976071,-1.596976071,0
2014-08-23 02:21:00-07:00,0,2.4510097,-2.4510097,1.602629101,-1.602629101,0
2014-08-23 02:22:00-07:00,0,2.459624875,-2.459624875,1.608262261,-1.608262261,0
2014-08-23 02:23:00-07:00,0,2.468209979,-2.468209979,1.613875759,-1.613875759,0
2014-08-23 02:24:00-07:00,0,2.476765325,-2.476765325,1.619469799,-1.619469799,0
2014-08-23 02:25:00-07:00,0,2.485291221,-2.485291221,1.625044582,-1.625044582,0
2014-08-23 02:26:00-07:00,0,2.493787968,-2.493787968,1.630600307,-1.630600307,0
2014-08-23 02:27:00-07:00,0,2.502255863,-2.502255863,1.636137166,-1.636137166,0
2014-08-23 02:28:00-07:00,0,2.510695198,-2.510695198,1.641655351,-1.641655351,0
2014-08-23 02:29:00-07:00,0,2.519106261,-2.519106261,1.647155049,-1.647155049,0
2014-08-23 02:30:00-07:00,0,2.527489333,-2.527489333,1.652636445,-1.652636445,0
2014-08-23 02:31:00-07:00,0,2.535844693,-2.535844693,1.658099721,-1.658099721,0
2014-08-23 02:32:00-07:00,0,2.544172613,-2.544172613,1.663545055,-1.663545055,0
2014-08-23 02:33:00-07:00,0,2.552473361,-2.552473361,1.668972623,-1.668972623,0
2014-08-23 02:34:00-07:00,0,2.560747202,-2.560747202,1.674382597,-1.674382597,0
2014-08-23 02:35:00-07:00,0,2.568994397,-2.568994397,1.679775147,-1.679775147,0
